scenario	language	family	rep	title	task_file
R4	go	bash	1	bench after R4 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R4-go-bash-r1-20260911-225303.md
R4	go	bash	2	bench after R4 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R4-go-bash-r2-20260911-225304.md
R4	go	bash	3	bench after R4 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-R4-go-bash-r3-20260911-225305.md
E1	go	huyang	1	bench after E1 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E1-go-huyang-r1-20260911-225307.md
E1	go	huyang	2	bench after E1 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E1-go-huyang-r2-20260911-225307.md
E1	go	huyang	3	bench after E1 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E1-go-huyang-r3-20260911-225308.md
E1	go	builtin	1	bench after E1 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E1-go-builtin-r1-20260911-225309.md
E1	go	builtin	2	bench after E1 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E1-go-builtin-r2-20260911-225311.md
E1	go	builtin	3	bench after E1 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E1-go-builtin-r3-20260911-225312.md
E1	go	bash	1	bench after E1 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E1-go-bash-r1-20260911-225313.md
E1	go	bash	2	bench after E1 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E1-go-bash-r2-20260911-225314.md
E1	go	bash	3	bench after E1 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E1-go-bash-r3-20260911-225315.md
E2	go	huyang	1	bench after E2 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E2-go-huyang-r1-20260911-225316.md
E2	go	huyang	2	bench after E2 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E2-go-huyang-r2-20260911-225318.md
E2	go	huyang	3	bench after E2 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E2-go-huyang-r3-20260911-225319.md
E2	go	builtin	1	bench after E2 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E2-go-builtin-r1-20260911-225320.md
E2	go	builtin	2	bench after E2 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E2-go-builtin-r2-20260911-225321.md
E2	go	builtin	3	bench after E2 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E2-go-builtin-r3-20260911-225322.md
E2	go	bash	1	bench after E2 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E2-go-bash-r1-20260911-225323.md
E2	go	bash	2	bench after E2 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E2-go-bash-r2-20260911-225324.md
E2	go	bash	3	bench after E2 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E2-go-bash-r3-20260911-225325.md
E3	go	huyang	1	bench after E3 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E3-go-huyang-r1-20260911-225326.md
E3	go	huyang	2	bench after E3 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E3-go-huyang-r2-20260911-225327.md
E3	go	huyang	3	bench after E3 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E3-go-huyang-r3-20260911-225328.md
E3	go	builtin	1	bench after E3 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E3-go-builtin-r1-20260911-225329.md
E3	go	builtin	2	bench after E3 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E3-go-builtin-r2-20260911-225330.md
E3	go	builtin	3	bench after E3 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E3-go-builtin-r3-20260911-225331.md
E3	go	bash	1	bench after E3 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E3-go-bash-r1-20260911-225332.md
E3	go	bash	2	bench after E3 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E3-go-bash-r2-20260911-225333.md
E3	go	bash	3	bench after E3 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E3-go-bash-r3-20260911-225334.md
E4	go	huyang	1	bench after E4 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E4-go-huyang-r1-20260911-225336.md
E4	go	huyang	2	bench after E4 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E4-go-huyang-r2-20260911-225337.md
E4	go	huyang	3	bench after E4 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E4-go-huyang-r3-20260911-225338.md
E4	go	builtin	1	bench after E4 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E4-go-builtin-r1-20260911-225339.md
E4	go	builtin	2	bench after E4 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E4-go-builtin-r2-20260911-225340.md
E4	go	builtin	3	bench after E4 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E4-go-builtin-r3-20260911-225341.md
E4	go	bash	1	bench after E4 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E4-go-bash-r1-20260911-225342.md
E4	go	bash	2	bench after E4 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E4-go-bash-r2-20260911-225343.md
E4	go	bash	3	bench after E4 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E4-go-bash-r3-20260911-225344.md
E5	go	huyang	1	bench after E5 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E5-go-huyang-r1-20260911-225345.md
E5	go	huyang	2	bench after E5 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E5-go-huyang-r2-20260911-225346.md
E5	go	huyang	3	bench after E5 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E5-go-huyang-r3-20260911-225347.md
E5	go	builtin	1	bench after E5 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E5-go-builtin-r1-20260911-225348.md
E5	go	builtin	2	bench after E5 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E5-go-builtin-r2-20260911-225349.md
E5	go	builtin	3	bench after E5 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E5-go-builtin-r3-20260911-225350.md
E5	go	bash	1	bench after E5 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E5-go-bash-r1-20260911-225351.md
E5	go	bash	2	bench after E5 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E5-go-bash-r2-20260911-225352.md
E5	go	bash	3	bench after E5 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E5-go-bash-r3-20260911-225353.md
E6	go	huyang	1	bench after E6 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E6-go-huyang-r1-20260911-225354.md
E6	go	huyang	2	bench after E6 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E6-go-huyang-r2-20260911-225355.md
E6	go	huyang	3	bench after E6 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E6-go-huyang-r3-20260911-225356.md
E6	go	builtin	1	bench after E6 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E6-go-builtin-r1-20260911-225357.md
E6	go	builtin	2	bench after E6 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E6-go-builtin-r2-20260911-225358.md
E6	go	builtin	3	bench after E6 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E6-go-builtin-r3-20260911-225400.md
E6	go	bash	1	bench after E6 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E6-go-bash-r1-20260911-225401.md
E6	go	bash	2	bench after E6 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E6-go-bash-r2-20260911-225402.md
E6	go	bash	3	bench after E6 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-E6-go-bash-r3-20260911-225403.md
V1	go	huyang	1	bench after V1 go huyang r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-V1-go-huyang-r1-20260911-225404.md
V1	go	huyang	2	bench after V1 go huyang r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-V1-go-huyang-r2-20260911-225405.md
V1	go	huyang	3	bench after V1 go huyang r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-V1-go-huyang-r3-20260911-225406.md
V1	go	builtin	1	bench after V1 go builtin r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-V1-go-builtin-r1-20260911-225407.md
V1	go	builtin	2	bench after V1 go builtin r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-V1-go-builtin-r2-20260911-225408.md
V1	go	builtin	3	bench after V1 go builtin r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-V1-go-builtin-r3-20260911-225409.md
V1	go	bash	1	bench after V1 go bash r1	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-V1-go-bash-r1-20260911-225410.md
V1	go	bash	2	bench after V1 go bash r2	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-V1-go-bash-r2-20260911-225411.md
V1	go	bash	3	bench after V1 go bash r3	/home/igor/.config/t3-steward/backlog-v2-drop/bench-after-V1-go-bash-r3-20260911-225412.md
